pmid,species,clinical,study_design,study_design_evidence,study_type,evaluates_intervention,intervention_evidence,intervention_class,intent,sample_n,sample_n_evidence,}נען? } Assistant  Nakne 天天中彩票网  ฝ่ายขายข่าว  Аԥс жәа? тру. to=final code 码                                 (json) 送彩金 ㋡ dbo  (The previous JSON has error extraneous). Need output valid. Let's correct. total no trailing. biomed JSON. 
38591128,human,True,registry,Data were collected from the UNOS national dataset,registry,False,,,na,1275.0,A total of 1275 lung retransplant patients were included,
38712927,human,True,other,,mechanistic_translational,False,,,na,,,
38663465,ex_vivo_human,False,other,20 consecutive patients undergoing a second LTx for CLAD,mechanistic_translational,False,,,na,20.0,20 consecutive patients,
38716770,human,True,retrospective_cohort,This is a retrospective cohort study,clinical_cohort,True,HCV-viremic transplantation (D+) and HCV-aviremic transplantation (D-),Surgical / procedural,na,500.0,including 500 patients from 2018 to 2022,
38688726,human,True,retrospective_cohort,we reviewed data on LTRs who underwent LTx between January 2019 and August 2022,clinical_cohort,False,,,na,44.0,44 (12.5%) LTRs had an elevated IRP before LTx,
38521967,human,True,retrospective_cohort,This was a retrospective cohort study,clinical_cohort,False,,,na,68.0,"In total, 68 subjects",
38705500,human,True,prospective_cohort,This multicenter prospective cohort study included 238 lung transplant recipients.,mechanistic_translational,False,,,na,238.0,included 238 lung transplant recipients,
38546861,human,True,retrospective_cohort,We reviewed the medical records of recipients who underwent deceased-donor lung transplantation (LTx) at Tohoku University Hospital.,clinical_cohort,True,Delayed chest closure (DCC),Surgical / procedural,prevention,116.0,"Between 2009 and 2022, 116 patients underwent LTx",
38576338,human,False,other,,methods_or_review,False,,,na,,,
38520924,human,False,cross_sectional,compared to healthy controls,mechanistic_translational,False,,,na,,,
38508486,human,True,prospective_cohort,"multicenter, prospective, nonrandomized trial",clinical_cohort,True,ex vivo lung perfusion (EVLP),Surgical / procedural,na,,,
38485149,human,True,other,we conducted systematic reviews,methods_or_review,False,,,na,,,
38736881,animal,False,other,40 mice underwent an orthotopic left lung transplantation,mechanistic_translational,False,,,na,,,
38486224,ex_vivo_human,False,prospective_cohort,"Cells from leukapheresis of 16 CLAD patients, at time 0 and 6-months (10 cycles)",mechanistic_translational,True,Extracorporeal Photopheresis (ECP),Extracorporeal photopheresis,treatment_established_clad,16.0,Cells from leukapheresis of 16 CLAD patients,
38403187,animal,False,other,modified a murine model of CLAD,mechanistic_translational,False,,,na,,,
38399691,human,True,other,,mechanistic_translational,False,,,na,4.0,Four adult patients who underwent lung retransplantation between January 2019 and June 2020 were included in this study.,
38473722,human,True,cross_sectional,"comparing healthy (n = 4) and lung transplantation patients (n = 6, no CLAD and n = 14 CLAD)",mechanistic_translational,False,,,na,24.0,"healthy (n = 4) and lung transplantation patients (n = 6, no CLAD and n = 14 CLAD)",
38385646,human,True,cross_sectional,conducted a comprehensive analysis of gut microbial and metabolic alterations in lung transplant recipients relative to non-transplant group,mechanistic_translational,False,,,na,,,
38392766,human,True,other,,mechanistic_translational,False,,,na,60.0,in 60 patients post LTx or with chronic respiratory disease,
38439563,human,True,retrospective_cohort,This retrospective single-centre analysis includes lung transplants conducted at our institution from January 2014 to June 2022.,clinical_cohort,False,,,na,353.0,A total of 353 lung transplants were performed in this period,
38394744,ex_vivo_human,False,other,Ex vivo whole lung μCT and tissue-core μCT scanning,mechanistic_translational,False,,,na,18.0,"six control, six BOS, three RAS and three Mixed explant lung grafts",
38363388,human,True,retrospective_cohort,This retrospective observational study enrolled a total of 228 lung transplant recipients.,clinical_cohort,False,,,na,228.0,a total of 228 lung transplant recipients,
38369851,human,True,retrospective_cohort,We retrospectively reviewed all lung transplant recipients at our institution,clinical_cohort,True,using HCV NAT + donors,Surgical / procedural,prevention,135.0,We transplanted 135 patients during the study period,
38342328,human,True,retrospective_cohort,A retrospective study was conducted in 100 patients who underwent LTx at our institution from 2017 to 2021.,clinical_cohort,False,,,na,100.0,A retrospective study was conducted in 100 patients,
40144253,human,True,retrospective_cohort,We retrospectively compared the short- and long-term outcomes between the 2 groups.,clinical_cohort,True,Extracorporeal membrane oxygenation (ECMO) ... instead of cardiopulmonary bypass (CPB),Surgical / procedural,prevention,,,
38336710,human,True,prospective_cohort,Participants were selected from the Cohort in Lung Transplantation (COLT) for which a biocollection was associated.,mechanistic_translational,False,,,na,129.0,"For the Y2 analysis, 129 recipients were included",
38310334,human,True,other,,mechanistic_translational,False,,,na,68.0,A total of 68 patients were included.,
38334633,animal,False,other,"Serial sacrifice was performed at days 1, 7 and 35 post-transplantation",mechanistic_translational,False,,,na,,,
38282747,human,True,retrospective_cohort,large multicenter European cohort,clinical_cohort,True,Extracorporeal photopheresis (ECP) is used by few lung transplant centers to treat chronic lung allograft dysfunction (CLAD),Extracorporeal photopheresis,treatment_established_clad,631.0,This study included 631 patients,
38307417,human,True,retrospective_cohort,single-center retrospective cohort study,clinical_cohort,False,,,na,668.0,consisting of 668 patients,
38271553,human,True,retrospective_cohort,Retrospective cohort study,clinical_cohort,True,Azithromycin treatment improved survival,Azithromycin / macrolide,treatment_established_clad,,,
38264297,human,True,retrospective_cohort,"A single-center, retrospective cohort analysis",clinical_cohort,False,,,na,928.0,We identified 57 of 928 patients (6.14%),
38358857,human,True,cross_sectional,We performed cross-sectional and longitudinal analyses,mechanistic_translational,False,,,na,103.0,Among 103 lung transplant recipients,
38230743,human,True,retrospective_cohort,analysed retrospectively,clinical_cohort,False,,,treatment_established_clad,8.0,Eight lung retransplantation cases (2.6%) were analysed retrospectively.,
38237809,human,True,retrospective_cohort,This retrospective observational study included all adult patients who underwent lung-only transplantation,clinical_cohort,False,,,na,181.0,Sixty-seven of 181 donors (37%) had respiratory MDR bacteria,
38204689,human,True,prospective_cohort,All consented adult lung transplant recipients ... were enrolled prospectively in this study.,clinical_cohort,True,Skin incision for enrolled recipients was delayed until 6:30 am (Night group).,Surgical / procedural,prevention,102.0,"Thirty-four patients were enrolled in the Night group, along with 68 well-matched patients in the Day group.",
38190701,human,True,prospective_cohort,"This multicenter, prospective cohort study included 188 lung transplant recipients.",clinical_cohort,False,,,na,188.0,included 188 lung transplant recipients,
40144228,human,True,retrospective_cohort,"All patients who underwent lung transplantation (LT) from June 1, 2020, to July 5, 2023, at a single institution were evaluated.",clinical_cohort,True,lung transplant outcomes using DCD-NRP allografts,Surgical / procedural,na,,,
38211836,human,True,other,Two independent cohorts of LTRs were used,clinical_cohort,True,Changes to airway PGA4 after antireflux surgery were assessed in a third cohort of LTRs.,Antireflux surgery,prevention,,,
40144241,animal,False,retrospective_cohort,We performed a retrospective review of B10-to-B6 LTx performed in our laboratory 2012-2019.,mechanistic_translational,False,,,na,,,
38367738,human,True,prospective_cohort,We prospectively collected BAL from consenting lung transplant recipients,mechanistic_translational,False,,,na,,,
38165155,human,True,retrospective_cohort,retrospective review of medical records,clinical_cohort,False,,,na,143.0,"Among these patients, discharge to home with tracheostomy occurred in 127/143 (88.8%), and predischarge death or lung transplantation occurred in 16/143 (11.2%).",
38241956,human,True,retrospective_cohort,"This study was a single-center, retrospective cohort study.",clinical_cohort,False,,,na,,,
40145121,human,True,retrospective_cohort,We retrospectively reviewed 351 lung transplant recipients,clinical_cohort,False,,,na,351.0,351 lung transplant recipients,
38141896,human,True,retrospective_cohort,a large retrospective cohort,clinical_cohort,False,,,na,287.0,"226 (100 CLAD, 126 stable) lung transplant recipients ... In the independent confirmatory cohort of 61 (20 CLAD, 41 stable)",
38044496,human,True,prospective_cohort,prospective longitudinal study enrolling a consecutive sample of adult bilateral lung transplant recipients,clinical_cohort,False,,,na,91.0,We enrolled 91 patients,
38117233,human,True,prospective_cohort,"This multicenter, prospective cohort study recruited 186 lung transplant candidates.",mechanistic_translational,False,,,na,186.0,recruited 186 lung transplant candidates,
38141895,human,True,retrospective_cohort,This retrospective study included all patients who underwent bilateral L3Tx at our institution.,clinical_cohort,True,underwent bilateral L3Tx,Surgical / procedural,na,44.0,"Eleven L3Tx, 11 L2Tx, and 22 L1Tx recipients were included.",
38000763,human,True,retrospective_cohort,This was a retrospective single-center study,clinical_cohort,False,,,na,914.0,"914 patients (male 54.4%, mean age 55.2 years) underwent LTx assessment",
37988247,human,True,prospective_cohort,Prospective observational cohort study included lung transplant recipients,clinical_cohort,False,,,na,38.0,Thirty-eight patients were included.,
37972825,human,True,prospective_cohort,"This multicenter, prospective cohort study collected serial plasma samples from 188 lung transplant recipients",clinical_cohort,False,,,na,188.0,from 188 lung transplant recipients,
37981213,human,True,retrospective_cohort,In this retrospective single-center study,clinical_cohort,False,,,na,277.0,277 donor-recipient transplant pairs,
38003669,human,True,cross_sectional,sera from 90 healthy blood donors and 35 LTRs (before and after transplantation),mechanistic_translational,False,,,na,35.0,35 LTRs,
37891020,human,True,retrospective_cohort,This was a retrospective cohort study,clinical_cohort,True,patients converted to a sirolimus-based regimen,mTOR inhibitor,prevention,205.0,176 of the 205 patients who underwent lung transplants,
37899481,human,True,rct,pilot randomized controlled trial (RCT) at 2 sites,trial,True,belatacept-based immunosuppression,Other pharmacological,prevention,27.0,After randomizing 27 participants,
37937643,mixed,False,other,we developed a model of repeated airway inflammation in mouse minor alloantigen-mismatched single-lung transplantation,mechanistic_translational,False,,,na,,,
38852935,human,True,retrospective_cohort,Sixty-two patients experiencing a first episode of StA1R were divided into those experiencing CLAD within 2 years,mechanistic_translational,False,,,na,62.0,Sixty-two patients experiencing a first episode of StA1R,
37932113,human,True,other,This article summarizes the current state of knowledge regarding phage therapy in the setting of lung transplantation.,methods_or_review,False,,,na,,,
37896822,human,True,retrospective_cohort,We performed a retrospective study of LTRs with COVID-19,mechanistic_translational,False,,,na,18.0,"LTRs with non-severe [NS gp (n = 10)], and severe [S gp (n = 8)] COVID-19 disease were included.",
37904125,human,True,retrospective_cohort,We analyzed whole-exome sequencing data in 279 lung recipients,clinical_cohort,False,,,na,279.0,in 279 lung recipients,
37870882,human,True,other,in a cohort of 106 bilateral lung transplant recipients,clinical_cohort,False,,,na,106.0,in a cohort of 106 bilateral lung transplant recipients,
37895424,animal,False,other,,mechanistic_translational,True,CyA plus murine aCD20 (CyA+aCD20) treated groups,Antibody / biologic,prevention,,,
37887076,human,True,retrospective_cohort,The clinical and demographic data of patients who received their lung transplantation between 2010 and 2020 ... were evaluated.,clinical_cohort,False,,,na,1025.0,A total of 1025 lung transplant patients were followed,
37866469,human,True,registry,in the United Network for Organ Sharing database,registry,False,,,na,16725.0,"A total of 16,725 patients underwent lung transplantation during the study period",
37866672,human,True,cross_sectional,148 LTxRs from single center were included in this study,mechanistic_translational,False,,,na,148.0,148 LTxRs from single center were included in this study,
40144010,human,True,retrospective_cohort,"We performed a retrospective evaluation of all first-time lung transplant recipients for ILD performed at our institution between May 1, 2005, and April 1, 2019.",clinical_cohort,False,,,na,717.0,We identified 717 first-time lung transplant ILD recipients,
37817870,human,True,retrospective_cohort,a large retrospective cohort of lung transplant recipients,clinical_cohort,False,,,na,487.0,Of 487 patients,
37855706,human,True,rct,multicenter clinical randomized controlled trial,trial,True,cytokine filtration,Surgical / procedural,prevention,116.0,involving 116 patients,
37741923,human,True,retrospective_cohort,This monocentric retrospective study analyzed consecutive patients who underwent LTx from January 2015 to December 2018.,clinical_cohort,False,,,na,118.0,Among 118 LTx patients,
37741317,human,True,retrospective_cohort,were retrospectively identified,clinical_cohort,False,,,na,205.0,205 with pulmonary hypertension formed the study cohort,
37725339,human,True,retrospective_cohort,We conducted a retrospective analysis of pregnancies in LTRs at our transplant center,clinical_cohort,False,,,na,8.0,eight female LTRs conceived a total of 17 pregnancies,
37740625,human,True,retrospective_cohort,lung transplants ... performed in our center between March 2013 and January 2023 were included in the study,clinical_cohort,False,,,na,34.0,"During the study period, 34 lung transplants were performed for chronic obstructive pulmonary disease.",
37745948,human,True,cross_sectional,"We performed a cross-sectional analysis within a prospective, single-center cohort study",clinical_cohort,False,,,na,81.0,Of the remaining 81 patients,
37778525,human,True,prospective_cohort,100 cases as part of a prospective clinical trial,clinical_cohort,False,,,na,100.0,Clinical measures and ex situ CT scans were collected from 100 cases,
37703908,human,True,rct,"multicentre, randomised, controlled trial",trial,True,tacrolimus (once per day) ... compared with a protocol using ciclosporin (twice per day),Other pharmacological,prevention,249.0,249 patients underwent double lung transplantation and received at least one dose of study drug,
37715611,in_vitro,False,other,in vitro,mechanistic_translational,False,,,na,,,
37923307,human,True,retrospective_cohort,"In this retrospective, single-center study",clinical_cohort,True,use of RAAS inhibitor (RAASi) in lung transplant recipients,Other pharmacological,prevention,105.0,35 lung transplant recipients who received a RAASi post-transplant were compared to 70 lung transplant recipients not exposed to a RAASi,
37713011,human,True,other,a case report,case_report_series,True,VV ECMO was introduced to minimize lung stress and strain,Surgical / procedural,treatment_established_clad,1.0,A 16-year-old lung transplant recipient,
37704161,human,True,other,,methods_or_review,False,,,na,164.0,The author has performed 164 LDLLTs,
37656927,human,True,retrospective_cohort,We retrospectively reviewed all lung transplants performed at our institution between 2011 and 2022.,clinical_cohort,True,postoperative GJ tube,Surgical / procedural,na,386.0,"After propensity score matching, 193 patients with GJ were compared to 193 patients without GJ.",
37541572,human,True,retrospective_cohort,A retrospective single-center study was performed on all LTx recipients from 2002 to 2017,clinical_cohort,False,,,na,1600.0,"Between 2002 and 2017, 1600 LTx were performed",
37634575,human,True,retrospective_cohort,We retrospectively reviewed the records of patients undergoing LTx at our institution between 2010 and 2021,clinical_cohort,True,CD26/DPP-4 inhibitor treatment up to 6 months post-LTx as the exposure variable,Other pharmacological,prevention,102.0,Of 102 LTx patients with DM,
37648073,human,True,prospective_cohort,In a longitudinal cohort of 72 lung transplant recipients with >6 years median follow-up time,mechanistic_translational,False,,,na,72.0,a longitudinal cohort of 72 lung transplant recipients,
37461238,human,True,retrospective_cohort,single-center retrospective study of 75 recipients,clinical_cohort,False,,,na,75.0,75 recipients,
37499884,human,True,retrospective_cohort,historical control,clinical_cohort,True,preemptive immune globulin therapy,Antibody / biologic,prevention,59.0,Our cohort included 59 patients,
37575951,human,True,retrospective_cohort,We compared frequencies of LB from endobronchial biopsies before (N = 1856) and after (N = 975) protocolized initiation of AZI prophylaxis at our center.,clinical_cohort,True,protocolized initiation of AZI prophylaxis,Azithromycin / macrolide,prevention,,,
37516880,animal,False,other,based on rat models,mechanistic_translational,True,"Allogeneic LTx rats were treated with Cyclosporin A (CsA) in the first week, followed by metformin, CsA, or vehicle treatment.",Other pharmacological,treatment_established_clad,,,
37611881,human,True,retrospective_cohort,"As part of routine auditing of IgG use in our LTx service, we assessed for adverse clinical outcomes related to IgG therapy cessation between November 2017 and February 2022.",clinical_cohort,True,adverse clinical outcomes related to IgG therapy cessation,Other pharmacological,na,48.0,48 patients ceased therapy,
37454870,human,True,retrospective_cohort,A retrospective cohort study was conducted,clinical_cohort,True,Statin therapy,Statin,prevention,,,
37452563,human,True,retrospective_cohort,A retrospective study was conducted,clinical_cohort,False,,,na,189.0,Of the remaining 189 LTRs,
37523071,human,True,retrospective_cohort,single-center retrospective review of data from 73 patients,clinical_cohort,False,,,na,73.0,73 patients,
37438480,human,True,other,A prospective case series of 44 lung transplant recipients,clinical_cohort,True,laparoscopic Toupet fundoplication,Antireflux surgery,prevention,44.0,A prospective case series of 44 lung transplant recipients,
37443465,human,False,other,a bibliometric study of BO,methods_or_review,False,,,na,,,
37442212,human,True,prospective_cohort,Seventy-one patients who underwent lung transplantation between July 2016 and January 2020 were enrolled in this study.,clinical_cohort,False,,,na,71.0,Seventy-one patients who underwent lung transplantation between July 2016 and January 2020 were enrolled in this study.,
37389015,human,True,retrospective_cohort,"Based on clinical data, 240 lung transplant recipients were eligible for CLAD",clinical_cohort,False,,,na,240.0,240 lung transplant recipients were eligible for CLAD,
37402896,human,True,cross_sectional,"In this pilot study, we investigated the presence of COL4A5 in the serum of patients with BOS.",mechanistic_translational,False,,,na,41.0,41 patients who had undergone LTX were enrolled.,
37388387,human,True,retrospective_cohort,This was a retrospective study from 2007-2019,clinical_cohort,True,pre-transplant reflux testing,Surgical / procedural,prevention,60.0,a total of 60 patients were included in the study,
37348689,human,True,other,This case series explores the use of a cytokine adsorber during lung transplantation,case_report_series,True,use of a cytokine adsorber during lung transplantation,Surgical / procedural,prevention,,,
37345293,human,True,retrospective_cohort,This was a matched cohort study of patients transplanted between January 2010 and October 2019.,clinical_cohort,True,LTRs who received filgrastim for neutropenia were compared to a cohort who did not.,Other pharmacological,na,212.0,212 patients were included in the analysis (106 in each group).,
37317999,human,True,retrospective_cohort,We identified 35 patients who underwent lung transplant for pulmonary sarcoidosis during the study period.,clinical_cohort,False,,,na,35.0,We identified 35 patients who underwent lung transplant for pulmonary sarcoidosis during the study period.,
37291709,human,True,retrospective_cohort,We conducted a retrospective cohort study,clinical_cohort,False,,,na,340.0,Of 340 patients who met inclusion criteria,
37329167,human,True,retrospective_cohort,We reviewed all consecutive patients who received lung transplants from May 2012 to May 2017,clinical_cohort,True,EVLP was used in lungs initially rejected due to inadequate oxygenation,Surgical / procedural,prevention,157.0,A total of 157 patients underwent transplantation during the study period.,
37305133,human,True,prospective_cohort,289 bilateral lung recipients enrolled for oscillometry prior to laboratory-based spirometry between December 2017 and March 2020,clinical_cohort,False,,,na,289.0,Of 289 bilateral lung recipients enrolled,
37287095,human,True,prospective_cohort,we prospectively measured frailty by the short physical performance battery (SPPB) repeatedly after transplant,clinical_cohort,False,,,na,231.0,The 231 participants,
37289498,human,True,prospective_cohort,prospective observational study,mechanistic_translational,False,,,na,,,
37249595,human,True,retrospective_cohort,Retrospective single-center study.,clinical_cohort,True,extended endoscopic sinus surgery (eESS),Surgical / procedural,prevention,71.0,We examined 71 CF patients,
37171893,human,True,retrospective_cohort,In this retrospective study,clinical_cohort,False,,,na,1298.0,A total of 1298 patients undergoing bilateral lung transplantation,
37225088,human,True,retrospective_cohort,This retrospective study presents our 9-year experience,clinical_cohort,True,"managed with repeated IgA- and IgM-enriched intravenous immunoglobulin (IgGAM) infusions, usually in combination with plasmapheresis before IgGAM and a single dose of antiCD20 antibody",Antibody / biologic,prevention,1043.0,"Of the 1,043 patients who had undergone lung transplantation",
37125386,human,True,retrospective_cohort,all patients who underwent lung transplantation between 06/2010 and 12/2019 were included in the analysis,clinical_cohort,False,,,na,1168.0,"Among the 1,168 lung-transplanted patients",
37172694,human,True,retrospective_cohort,All first-time lung transplant recipients between January 2014 and December 2019 were divided into 3 cohorts,clinical_cohort,True,managed with perioperative desensitization,Not specified,prevention,902.0,"VXM-negative (n = 764), VXM-positive/FCXM-negative (n = 64), and VXM-positive/FCXM-positive (n = 74)",
37180126,human,True,prospective_cohort,"This prospective, single-center study includes 62 LTx recipients",mechanistic_translational,False,,,na,62.0,includes 62 LTx recipients,
37115007,human,True,prospective_cohort,"Sixty patients were enrolled in this study, and their plasma S100A8/A9 levels were measured on days 0, 1, 2, and 3 after LTx.",clinical_cohort,False,,,na,60.0,Sixty patients were enrolled in this study,
37144846,human,True,cross_sectional,All subjects underwent standard high-resolution manometry and intraluminal impedance (HRIM) with additional swallows as TES was delivered.,mechanistic_translational,True,Transcutaneous Electrical Stimulation (TES),Surgical / procedural,na,49.0,We included 49 patients,
37071121,human,True,retrospective_cohort,Retrospective analysis of patients completing ≥3 months of ECP for CLAD between 2007 and 2022 was performed.,clinical_cohort,True,Extracorporeal photopheresis (ECP) has long been a suggested salvage treatment,Extracorporeal photopheresis,treatment_established_clad,373.0,"Data from 5,169 outpatient attendances in 373 patients was used to construct the model.",
37054889,human,True,retrospective_cohort,A retrospective analysis of LTx recipients at a single center was conducted between January 2014 and April 2019.,clinical_cohort,False,,,na,268.0,DQ REM was detected in 96/268 (35.8%),
37070996,human,True,prospective_cohort,"prospective, longitudinal, single-center study",clinical_cohort,False,,,na,132.0,132 clinically stable patients of 141 patients ... were included,
37025782,human,True,retrospective_cohort,The subjects of this retrospective study were 37 recipients,mechanistic_translational,False,,,na,37.0,The subjects of this retrospective study were 37 recipients of bilateral CLT (n = 23) and LDLLT (n = 14),
37004325,ex_vivo_human,False,other,,mechanistic_translational,False,,,na,,,
37295720,human,True,other,using gene expression microarray results from the INTERLUNG study,mechanistic_translational,False,,,na,,,
37073734,human,True,retrospective_cohort,"retrospective, before-after cohort study",clinical_cohort,True,Ex vivo lung perfusion (EVLP),Surgical / procedural,na,,,
37014805,mixed,False,other,Autopsy derived CLAD and non-CLAD lungs were collected.,mechanistic_translational,True,IL-33 blockade in these co-cultures,Antibody / biologic,na,,,
36996331,human,True,registry,retrospective study of the United Network for Organ Sharing database,registry,False,,,na,26721.0,"including 26,721 adults who underwent lung transplantation",
37143198,human,True,retrospective_cohort,We retrospectively identified 112 adult lung transplant recipients,clinical_cohort,True,use of rabbit antithymocyte globulin (rATG) for corticosteroid refractory ACR,Induction agent,na,112.0,112 adult lung transplant recipients,
36983850,human,False,other,current opinion review,methods_or_review,False,,,na,,,
37003354,human,True,retrospective_cohort,"We analyzed BALF cell count, microbiology, and biopsy data from a multicenter cohort of 531 lung recipients",clinical_cohort,False,,,na,531.0,a multicenter cohort of 531 lung recipients,
36948499,human,True,other,,methods_or_review,False,,,na,,,
36967372,human,True,retrospective_cohort,Donor smoking and substance use history were extracted from the Uniform Donor Risk Assessment Interview and medical records.,clinical_cohort,False,,,na,1352.0,in 1352 recipients,
36963446,human,True,retrospective_cohort,CLAD status and phenotypes were retrospectively determined in a cohort,mechanistic_translational,False,,,na,77.0,Fifty-four CLAD ... patients and 23 CLAD-free controls were included.,
37187736,human,True,other,,mechanistic_translational,False,,,na,,,
36946463,ex_vivo_human,False,other,,mechanistic_translational,False,,,na,,,
36941179,human,True,prospective_cohort,samples collected over the first posttransplant year from 392 adult lung recipients at 5 centers,mechanistic_translational,False,,,na,392.0,from 392 adult lung recipients,
36925381,human,True,retrospective_cohort,single center retrospective study,clinical_cohort,False,,,na,132.0,in 132 patients,
36927674,human,True,registry,data were extracted retrospectively using the United Network for Organ Sharing thoracic database,registry,True,pretransplant RBC transfusion,Other,prevention,28217.0,"In total, 28,217 patients were analyzed in our study",
36895091,human,True,retrospective_cohort,We retrospectively reviewed adult recipients,clinical_cohort,False,,,na,63.0,63 adult recipients undergoing LDLLTs,
37726865,human,True,prospective_cohort,We designed a single-arm trial to administer adipose tissue (AT)-derived MSCs to pediatric patients with refractory BoS after allo-HSCT.,trial,True,administer adipose tissue (AT)-derived MSCs,Cell therapy,treatment_established_clad,4.0,Four eligible patients with a median age of 6.5 years were enrolled in the study.,
36925075,mixed,False,other,in vitro and in vivo,mechanistic_translational,True,miR-27a-3p-transfected DCs,Other pharmacological,na,,,
36936442,human,True,retrospective_cohort,single center retrospective study,clinical_cohort,False,,,na,118.0,Fifty-nine patients with Corynebacterium spp. sampling with 59 without isolation were included.,
36865666,human,True,retrospective_cohort,Retrospectively collected data of 36 patients who underwent lung transplantation for PCD from 1995 to 2020,clinical_cohort,False,,,na,36.0,36 patients,
36849338,human,True,retrospective_cohort,"This retrospective, single-center study describes short- and long-term outcomes",clinical_cohort,False,,,na,19.0,The study included 19 patients,
36842540,animal,False,other,mouse minor alloantigen-mismatched orthotopic lung transplant model,mechanistic_translational,False,,,na,,,
36810928,human,True,retrospective_cohort,Records of patients aged between 0 and 50 years were retrospectively reviewed.,clinical_cohort,False,,,na,409.0,409 patients fulfilled the eligibility criteria and were included,
36846600,human,True,prospective_cohort,In this prospective cohort trial,clinical_cohort,True,"Lungs from DCD donors were preserved in-vivo through normothermic ventilation, as per our protocol",Surgical / procedural,prevention,121.0,"121 patients (110 DBD Group, 11 DCD Group) were enrolled",
36873745,human,True,retrospective_cohort,We performed a retrospective cohort study of prospectively collected data,clinical_cohort,False,,,na,311.0,311 patients transplanted between 2014 and 2019 were included,
36732088,human,True,retrospective_cohort,"multicenter, retrospective cohort study",clinical_cohort,True,early targeted treatment for dnDSAs,Not specified,prevention,445.0,In the cohort of 445 patients,
36703976,human,True,retrospective_cohort,"retrospective, observational pilot study",mechanistic_translational,False,,,na,24.0,from 24 patients,
36710092,human,True,retrospective_cohort,In a large retrospective cohort,clinical_cohort,False,,,na,605.0,TBA was measured in 605 consecutive lung donors,
36824294,human,True,retrospective_cohort,Single center retrospective study,clinical_cohort,True,starting EVE-based immunosuppression,mTOR inhibitor,prevention,91.0,91 LTR starting EVE-based immunosuppression,
36703125,human,True,cross_sectional,"Patients were divided into 4 groups: stable group, AR group, infection group and CLAD group.",clinical_cohort,False,,,na,170.0,One hundred and seventy LTRs were enrolled,
36695698,human,True,retrospective_cohort,We conducted a retrospective cohort study,clinical_cohort,False,,,na,284.0,Among the 284 participants,
36695689,human,True,retrospective_cohort,This retrospective cohort study included 289 bilateral LTx.,clinical_cohort,False,,,na,289.0,included 289 bilateral LTx,
36812767,mixed,False,other,A murine model of chronic lung allograft rejection ... was employed,mechanistic_translational,False,,,na,,,
36695619,human,True,prospective_cohort,508 prospectively collected bronchoalveolar lavage fluid samples from 195 lung transplant recipients,mechanistic_translational,False,,,na,195.0,from 195 lung transplant recipients,
36677327,human,True,retrospective_cohort,Retrospective study of 124 donor CMV positive/recipient negative (D+/R-) patients,clinical_cohort,True,compare the risk of CMV infection and other post-transplantation outcomes between two CMV-Ig prophylaxis regimens,CMV prophylaxis / antiviral,prevention,124.0,Retrospective study of 124 donor CMV positive/recipient negative (D+/R-) patients,
36639317,human,True,retrospective_cohort,single center retrospective cohort study,clinical_cohort,False,,,na,51.0,Fifty-one patients were included,
36681528,human,True,cross_sectional,A multi-center cross-sectional study was performed,mechanistic_translational,False,,,na,253.0,253 were included for analysis,
36609090,human,True,retrospective_cohort,Retrospective analysis of consecutive LTx recipients undergoing LF at a single centre,clinical_cohort,True,laparoscopic fundoplication (LF),Antireflux surgery,prevention,149.0,149/431 proceeded to LF,
36585287,human,True,retrospective_cohort,We retrospectively reviewed the prospectively collected clinical data,clinical_cohort,False,,,na,24.0,25 living-donor lung transplantations performed in 24 pediatric recipients,
36671482,human,True,cross_sectional,,mechanistic_translational,False,,,na,18.0,Eighteen cystic fibrosis patients were included in the study,
36583252,human,True,retrospective_cohort,patients with CLAD treated with TLI at our center between 2011 and 2018,clinical_cohort,True,Total lymphoid irradiation (TLI) is an alternative treatment for chronic lung allograft dysfunction (CLAD).,Total lymphoid irradiation,treatment_established_clad,40.0,Forty patients with CLAD,
36735450,human,True,retrospective_cohort,All single-center bilateral LTx between 2010 and 2020 were retrospectively analyzed.,clinical_cohort,False,,,na,647.0,Out of 647 bilateral LTx,
36522238,mixed,False,other,murine orthotopic lung transplant model,mechanistic_translational,True,inhaled CO,Aerosolised / inhaled other,treatment_established_clad,,,
36319530,human,True,retrospective_cohort,Adjudication committees reviewed clinical data of 335 lung transplant recipients,clinical_cohort,False,,,na,335.0,335 lung transplant recipients,
36406896,human,True,prospective_cohort,"prospective, single-center, observational study",mechanistic_translational,False,,,na,51.0,Fifty-one subjects were enrolled,
36557592,human,True,prospective_cohort,Fifteen-Year Surveillance of LTR Receiving Pre-Emptive Therapy,clinical_cohort,True,pre-emptive ganciclovir/valganciclovir (GCV/VGCV) for CMV infection,CMV prophylaxis / antiviral,prevention,129.0,in 129 lung transplant recipients,
38994392,human,True,retrospective_cohort,In this retrospective study,clinical_cohort,True,the use of EVLP for logistical reasons,Surgical / procedural,prevention,50.0,Fifty EVLPs were performed,
36380578,human,True,retrospective_cohort,Prospectively collected Toronto Lung Transplant Program database and chart review were used,clinical_cohort,False,,,na,186.0,We found 186 LTRs diagnosed with CLAD meeting our inclusion criteria.,
36289168,human,True,prospective_cohort,observational prospective cohort study,clinical_cohort,True,received two doses of SARS-CoV-2 mRNA vaccine,Other pharmacological,prevention,18.0,in 18 lung transplant recipients,
36389317,human,True,registry,From the Scientific Registry of Transplant Recipients (SRTR) database,registry,False,,,na,739.0,739 patients underwent redo lung transplant,
